Max Iterations,Max No Improvement,Random Percentage,Mode,Instance,Best Fitnes,Average Fitnes,Worst Fitnes,Best Time,Average Time,Worst Time
2,10,10,0,Instance1.txt,60.0,56.5,50.0,0.09,0.14,0.21
2,10,10,0,Instance2.txt,75.0,70.0,60.0,0.09,0.14,0.21
2,10,10,0,Instance3.txt,160.0,132.0,120.0,0.53,0.9,1.1
2,10,10,0,Instance4.txt,165.0,153.5,140.0,0.54,0.75,0.95
2,10,10,0,Instance5.txt,330.0,280.5,240.0,2.15,3.19,4.38
2,10,10,0,Instance6.txt,330.0,298.0,270.0,2.14,3.12,4.01
2,10,10,0,Instance7.txt,660.0,557.0,490.0,8.64,14.27,19.37
2,10,10,0,Instance8.txt,660.0,605.5,535.0,9.24,12.97,18.05
2,10,10,0,Instance9.txt,1660.0,1443.5,1230.0,55.37,83.2,114.36
2,10,10,0,Instance10.txt,1660.0,1534.5,1340.0,55.12,73.67,102.03
2,10,10,1,Instance1.txt,50.0,50.0,50.0,0.16,0.19,0.24
2,10,10,1,Instance2.txt,70.0,70.0,70.0,0.12,0.15,0.2
2,10,10,1,Instance3.txt,120.0,120.0,120.0,0.98,1.03,1.09
2,10,10,1,Instance4.txt,140.0,140.0,140.0,0.86,0.88,0.93
2,10,10,1,Instance5.txt,250.0,242.0,240.0,4.21,4.28,4.34
2,10,10,1,Instance6.txt,270.0,270.0,270.0,3.73,3.8,3.99
2,10,10,1,Instance7.txt,490.0,490.0,490.0,17.37,17.5,17.66
2,10,10,1,Instance8.txt,540.0,540.0,540.0,15.6,15.95,16.86
2,10,10,1,Instance9.txt,1230.0,1230.0,1230.0,112.22,113.29,113.96
2,10,10,1,Instance10.txt,1350.0,1344.0,1340.0,100.69,101.01,101.35
2,10,10,2,Instance1.txt,55.0,55.0,55.0,0.13,0.14,0.19
2,10,10,2,Instance2.txt,75.0,75.0,75.0,0.11,0.13,0.19
2,10,10,2,Instance3.txt,145.0,145.0,145.0,0.72,0.75,0.82
2,10,10,2,Instance4.txt,165.0,165.0,165.0,0.66,0.71,0.74
2,10,10,2,Instance5.txt,285.0,285.0,285.0,2.85,2.9,3.06
2,10,10,2,Instance6.txt,310.0,310.0,310.0,2.72,2.78,2.88
2,10,10,2,Instance7.txt,570.0,570.0,570.0,11.58,11.76,12.01
2,10,10,2,Instance8.txt,625.0,625.0,625.0,10.95,11.14,11.64
2,10,10,2,Instance9.txt,1440.0,1436.5,1435.0,74.36,75.59,77.97
2,10,10,2,Instance10.txt,1560.0,1558.0,1555.0,70.19,70.8,71.86
